date,rank,song,artist,last-week,peak-rank,weeks-on-board
10/30/2021,1,Easy On Me,Adele,68,1,2
10/30/2021,2,Stay,The Kid LAROI and Justin Bieber,2,1,15
10/30/2021,3,Industry Baby,Lil Nas X and Jack Harlow,1,1,13
10/30/2021,4,Fancy Like,Walker Hayes,3,3,18
10/30/2021,5,Bad Habits,Ed Sheeran,4,2,17
10/30/2021,6,Way 2 Sexy,Drake Featuring Future and Young Thug,5,1,7
10/30/2021,7,Good 4 U,Olivia Rodrigo,6,1,23
10/30/2021,8,Levitating,Dua Lipa,8,2,55
10/30/2021,9,Shivers,Ed Sheeran,10,9,6
10/30/2021,10,Kiss Me More,Doja Cat Featuring SZA,7,3,28
10/30/2021,11,Need To Know,Doja Cat,11,11,19
10/30/2021,12,Essence,Wizkid Featuring Justin Bieber and Tems,9,9,16
10/30/2021,13,My Universe,Coldplay x BTS,18,1,4
10/30/2021,14,Heat Waves,Glass Animals,12,12,40
10/30/2021,15,Beggin,Maneskin,15,15,17
10/30/2021,16,You Right,Doja Cat and The Weeknd,16,11,17
10/30/2021,17,Save Your Tears,The Weeknd and Ariana Grande,13,1,45
10/30/2021,18,Knife Talk,Drake Featuring 21 Savage and Project Pat,14,4,7
10/30/2021,19,Who Want Smoke??,Nardo Wick Featuring G Herbo- Lil Durk and 21 Savage,17,17,2
10/30/2021,20,Bubbly,Young Thug With Drake and Travis Scott,0,20,1
10/30/2021,21,Cold Heart (PNAU Remix),Elton John and Dua Lipa,25,21,7
10/30/2021,22,Traitor,Olivia Rodrigo,21,9,22
10/30/2021,23,If I Didnt Love You,Jason Aldean and Carrie Underwood,19,15,13
10/30/2021,24,Montero (Call Me By Your Name),Lil Nas X,20,1,30
10/30/2021,25,Chasing After You,Ryan Hurd With Maren Morris,23,23,25
10/30/2021,26,Girls Want Girls,Drake Featuring Lil Baby,22,2,7
10/30/2021,27,Take My Breath,The Weeknd,24,6,11
10/30/2021,28,Thats What I Want,Lil Nas X,26,10,5
10/30/2021,29,Pepas,Farruko,27,25,13
10/30/2021,30,Happier Than Ever,Billie Eilish,30,11,12
10/30/2021,31,Love Nwantiti (Ah Ah Ah),CKay,31,31,5
10/30/2021,32,Meet Me At Our Spot,THE ANXIETY: WILLOW and Tyler Cole,44,32,6
10/30/2021,33,Wockesha,Moneybagg Yo,29,20,26
10/30/2021,34,Buy Dirt,Jordan Davis Featuring Luke Bryan,40,34,11
10/30/2021,35,Memory I Dont Mess With,Lee Brice,35,33,13
10/30/2021,36,A-O-K,Tai Verdes,34,34,16
10/30/2021,37,My Boy,Elvie Shane,28,28,17
10/30/2021,38,Ghost,Justin Bieber,32,32,4
10/30/2021,39,Pissed Me Off,Lil Durk,0,39,1
10/30/2021,40,You Should Probably Leave,Chris Stapleton,43,40,16
10/30/2021,41,Cold As You,Luke Combs,45,41,12
10/30/2021,42,I Was On A Boat That Day,Old Dominion,37,37,16
10/30/2021,43,Sharing Locations,Meek Mill Featuring Lil Baby and Lil Durk,36,22,8
10/30/2021,44,Leave The Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),38,1,33
10/30/2021,45,Lets Go Brandon,Loza Alexander,0,45,1
10/30/2021,46,Gyalis,Capella Grey,46,38,12
10/30/2021,47,Wild Side,Normani Featuring Cardi B,52,14,14
10/30/2021,48,Fair Trade,Drake Featuring Travis Scott,39,3,7
10/30/2021,49,Leave Before You Love Me,Marshmello X Jonas Brothers,48,19,22
10/30/2021,50,Deja Vu,Olivia Rodrigo,42,3,29
10/30/2021,51,Thinking Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,55,51,10
10/30/2021,52,Family Ties,Baby Keem and Kendrick Lamar,49,18,8
10/30/2021,53,Have Mercy,Chloe,54,28,6
10/30/2021,54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,33,26,16
10/30/2021,55,Same Boat,Zac Brown Band,64,55,5
10/30/2021,56,Ex For A Reason,Summer Walker and JT,0,56,1
10/30/2021,57,Better Days,NEIKED X Mae Muller X Polo G,0,57,1
10/30/2021,58,Hurricane,Kanye West,50,6,8
10/30/2021,59,Baddest,Yung Bleu- Chris Brown and 2 Chainz,56,56,12
10/30/2021,60,Late At Night,Roddy Ricch,57,20,20
10/30/2021,61,Love Again,Dua Lipa,47,41,14
10/30/2021,62,Memory,Kane Brown X blackbear,60,50,15
10/30/2021,63,Chosen,Blxst and Tyga Featuring Ty Dolla $ign,65,63,4
10/30/2021,64,Knowing You,Kenny Chesney,62,62,10
10/30/2021,65,Woman,Doja Cat,63,62,12
10/30/2021,66,Esta Danada,Ivan Cornejo,61,61,3
10/30/2021,67,WFM,Realestk,75,67,2
10/30/2021,68,Livin It Up,Young Thug With Post Malone and A$AP Rocky,0,68,1
10/30/2021,69,Stressed,Young Thug With J. Cole and T-Shyne,0,69,1
10/30/2021,70,Whole Lotta Money,BIA Featuring Nicki Minaj,59,16,15
10/30/2021,71,Too Easy,Gunna and Future,66,38,4
10/30/2021,72,2055,Sleepy Hallow,58,51,14
10/30/2021,73,Lo Siento BB:/,Tainy- Bad Bunny and Julieta Venegas,51,51,2
10/30/2021,74,Sand In My Boots,Morgan Wallen,72,32,14
10/30/2021,75,Volvi,Aventura x Bad Bunny,67,22,12
10/30/2021,76,Til You Cant,Cody Johnson,94,76,2
10/30/2021,77,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,69,3
10/30/2021,78,Rich N***a Shit,Young Thug With Juice WRLD,0,78,1
10/30/2021,79,Yonaguni,Bad Bunny,76,10,20
10/30/2021,80,One Mississippi,Kane Brown,78,73,4
10/30/2021,81,Whiskey And Rain,Michael Ray,82,81,3
10/30/2021,82,Thot Shit,Megan Thee Stallion,71,16,19
10/30/2021,83,Tequila Little Time,Jon Pardi,86,83,2
10/30/2021,84,Freedom Was A Highway,Jimmie Allen and Brad Paisley,88,84,2
10/30/2021,85,Maybach,42 Dugg Featuring Future,85,68,4
10/30/2021,86,Get Into It (Yuh),Doja Cat,79,68,11
10/30/2021,87,No Friends In The Industry,Drake,74,11,7
10/30/2021,88,For Tonight,Giveon,98,88,3
10/30/2021,89,Praise God,Kanye West,99,20,4
10/30/2021,90,Champagne Poetry,Drake,77,4,7
10/30/2021,91,Let Somebody Go,Coldplay X Selena Gomez,0,91,1
10/30/2021,92,Ya Superame (En Vivo Desde Culiacan- Sinaloa),Grupo Firme,0,92,1
10/30/2021,93,You Time,Scotty McCreery,80,50,12
10/30/2021,94,In The Bible,Drake Featuring Lil Durk and Giveon,83,7,7
10/30/2021,95,Peepin Out The Window,Young Thug With Future and BSlime,0,95,1
10/30/2021,96,Whos In Your Head,Jonas Brothers,95,95,2
